"unigram","bigram","trigram","quadgram","freq"
"hard","for","me","to",15
"have","no","idea","how",15
"have","the","opportunity","to",15
"havent","been","able","to",15
"hope","you","all","have",15
"i","dont","feel","like",15
"i","dont","understand","why",15
"i","had","to","make",15
"i","have","a","few",15
"i","knew","it","was",15
"i","need","to","be",15
"i","think","that","the",15
"i","thought","that","was",15
"i","was","a","little",15
"i","would","not","be",15
"i’m","not","going","to",15
"if","you","ask","me",15
"if","you","dont","like",15
"if","you","happen","to",15
"if","you","look","at",15
"in","a","variety","of",15
"in","connection","with","the",15
"in","some","of","the",15
"in","the","car","and",15
"in","the","center","of",15
"in","the","city","of",15
"in","the","first","inning",15
"in","the","living","room",15
"in","the","middle","east",15
"in","the","past","but",15
"in","the","world","is",15
"is","subject","to","change",15
"is","the","only","way",15
"it","is","a","great",15
"it","means","to","be",15
"it","was","a","bit",15
"its","a","good","thing",15
"its","been","a","while",15
"ive","been","trying","to",15
"just","a","little","bit",15
"keep","an","eye","out",15
"little","more","than","a",15
"man","and","a","woman",15
"may","not","be","the",15
"more","than","any","other",15
"need","to","make","a",15
"of","new","york","and",15
"of","the","most","important",15
"of","the","rest","of",15
"of","the","season","and",15
"of","the","university","of",15
"off","to","a","great",15
"on","the","road","to",15
"on","the","west","coast",15
"on","the","west","side",15
"one","of","the","great",15
"one","of","the","more",15
"or","may","not","be",15
"said","in","a","written",15
"seems","to","be","the",15
"she","was","going","to",15
"shut","the","fuck","up",15
"so","i","can","get",15
"so","that","i","can",15
"so","that","i","could",15
"study","study","study","study",15
"sure","to","check","out",15
"thank","you","very","much",15
"thanks","for","stopping","by",15
"thanks","for","the","great",15
"that","i","have","a",15
"that","it","was","the",15
"that","it","will","be",15
"that","sounds","like","a",15
"that","we","have","a",15
"the","case","of","the",15
"the","fact","that","they",15
"the","last","of","the",15
"the","last","three","years",15
"the","past","few","weeks",15
"the","past","three","years",15
"the","power","of","the",15
"the","st","louis","area",15
"the","two","of","them",15
"the","university","of","chicago",15
"the","way","it","is",15
"there","are","too","many",15
"there","was","a","lot",15
"they","are","going","to",15
"this","is","just","a",15
"this","is","my","first",15
"tip","of","the","day",15
"to","all","of","our",15
"to","be","back","in",15
"to","come","back","to",15
"to","do","it","again",15
"to","do","with","it",15
"to","get","ready","for",15
"to","give","them","a",15
"to","go","to","bed",15
"to","go","to","work",15
"to","know","more","about",15
